EmployeeNumber,Age,Department,JobRole,MonthlyIncome,attrition_verdict,attrition_probability,risk_tier,primary_reason,reason_prob_burnout,reason_prob_compensation,reason_prob_stagnation,reason_prob_career_growth
1,41,Sales,Sales Executive,5993,Yes,0.9833,Critical,Burnout,0.8922,0.1078,0.0,0.0
2,49,Research & Development,Research Scientist,5130,No,0.0697,Low,N/A,0.0053,0.9607,0.0,0.0341
4,37,Research & Development,Laboratory Technician,2090,Yes,0.7609,Critical,Compensation,0.0655,0.9345,0.0,0.0
5,33,Research & Development,Research Scientist,2909,No,0.3823,Medium,N/A,0.047,0.9236,0.0,0.0294
7,27,Research & Development,Laboratory Technician,3468,No,0.0812,Low,N/A,0.0171,0.9731,0.0,0.0098
8,32,Research & Development,Laboratory Technician,3068,No,0.0186,Low,N/A,0.0833,0.8969,0.0,0.0198
10,59,Research & Development,Laboratory Technician,2670,No,0.0486,Low,N/A,0.8528,0.1472,0.0,0.0
11,30,Research & Development,Laboratory Technician,2693,No,0.1209,Low,N/A,0.04,0.96,0.0,0.0
12,38,Research & Development,Manufacturing Director,9526,No,0.0172,Low,N/A,0.0383,0.922,0.0,0.0396
13,36,Research & Development,Healthcare Representative,5237,No,0.0185,Low,N/A,0.0695,0.9157,0.0,0.0148
14,35,Research & Development,Laboratory Technician,2426,No,0.0097,Low,N/A,0.0136,0.9815,0.0,0.0049
15,29,Research & Development,Laboratory Technician,4193,No,0.0224,Low,N/A,0.0325,0.9625,0.0,0.0049
16,31,Research & Development,Research Scientist,2911,No,0.0317,Low,N/A,0.1022,0.893,0.0,0.0049
18,34,Research & Development,Laboratory Technician,2661,No,0.0408,Low,N/A,0.0239,0.9761,0.0,0.0
19,28,Research & Development,Laboratory Technician,2028,Yes,0.9962,Critical,Compensation,0.0351,0.9649,0.0,0.0
20,29,Research & Development,Manufacturing Director,9980,No,0.0172,Low,N/A,0.0721,0.7347,0.0,0.1933
21,32,Research & Development,Research Scientist,3298,No,0.0062,Low,N/A,0.7599,0.2352,0.0,0.0049
22,22,Research & Development,Laboratory Technician,2935,No,0.2318,Low,N/A,0.7809,0.2191,0.0,0.0
23,53,Sales,Manager,15427,No,0.0308,Low,N/A,0.0478,0.9027,0.0,0.0495
24,38,Research & Development,Research Scientist,3944,No,0.009,Low,N/A,0.0735,0.9265,0.0,0.0
26,24,Research & Development,Manufacturing Director,4011,No,0.0017,Low,N/A,0.051,0.9393,0.0,0.0098
27,36,Sales,Sales Representative,3407,Yes,0.9453,Critical,Compensation,0.009,0.991,0.0,0.0
28,34,Research & Development,Research Director,11994,No,0.046,Low,N/A,0.0417,0.8643,0.0,0.094
30,21,Research & Development,Research Scientist,1232,No,0.199,Low,N/A,0.019,0.981,0.0,0.0
31,34,Research & Development,Research Scientist,2960,Yes,0.7161,Critical,Compensation,0.0144,0.9856,0.0,0.0
32,53,Research & Development,Manager,19094,No,0.0233,Low,N/A,0.07,0.8956,0.0,0.0344
33,32,Research & Development,Research Scientist,3919,Yes,0.9984,Critical,Compensation,0.0403,0.9007,0.0,0.0591
35,42,Sales,Sales Executive,6825,No,0.0343,Low,N/A,0.0137,0.9523,0.0,0.0341
36,44,Research & Development,Healthcare Representative,10248,No,0.0201,Low,N/A,0.0524,0.8885,0.0,0.0592
38,46,Sales,Manager,18947,No,0.0419,Low,N/A,0.1391,0.846,0.0,0.0149
39,33,Research & Development,Laboratory Technician,2496,No,0.0793,Low,N/A,0.0131,0.9869,0.0,0.0
40,44,Research & Development,Healthcare Representative,6465,No,0.0011,Low,N/A,0.0434,0.9468,0.0,0.0099
41,30,Research & Development,Laboratory Technician,2206,No,0.0072,Low,N/A,0.0081,0.9771,0.0,0.0148
42,39,Sales,Sales Representative,2086,Yes,0.899,Critical,Compensation,0.0127,0.9823,0.0,0.0049
45,24,Research & Development,Research Scientist,2293,Yes,0.9568,Critical,Burnout,0.878,0.122,0.0,0.0
46,43,Research & Development,Research Scientist,2645,No,0.0018,Low,N/A,0.063,0.937,0.0,0.0
47,50,Sales,Sales Representative,2683,Yes,0.9192,Critical,Compensation,0.057,0.943,0.0,0.0
49,35,Sales,Sales Representative,2014,No,0.0707,Low,N/A,0.0058,0.9942,0.0,0.0
51,36,Research & Development,Research Scientist,3419,No,0.0565,Low,N/A,0.0569,0.9431,0.0,0.0
52,33,Sales,Sales Executive,5376,No,0.0104,Low,N/A,0.0165,0.9835,0.0,0.0
53,35,Research & Development,Laboratory Technician,1951,No,0.1017,Low,N/A,0.0131,0.9869,0.0,0.0
54,27,Research & Development,Laboratory Technician,2341,No,0.1028,Low,N/A,0.0278,0.9722,0.0,0.0
55,26,Research & Development,Laboratory Technician,2293,Yes,0.9974,Critical,Compensation,0.0453,0.9547,0.0,0.0
56,27,Sales,Sales Executive,8726,No,0.0203,Low,N/A,0.0224,0.948,0.0,0.0296
57,30,Research & Development,Laboratory Technician,4011,No,0.0065,Low,N/A,0.0121,0.9339,0.0,0.0539
58,41,Research & Development,Research Director,19545,No,0.0702,Low,N/A,0.0428,0.913,0.0,0.0442
60,34,Sales,Sales Executive,4568,No,0.1058,Low,N/A,0.0353,0.9249,0.0,0.0398
61,37,Research & Development,Research Scientist,3022,No,0.2671,Low,N/A,0.0331,0.9669,0.0,0.0
62,46,Sales,Sales Executive,5772,No,0.1233,Low,N/A,0.0439,0.9462,0.0,0.0099
63,35,Research & Development,Laboratory Technician,2269,No,0.0049,Low,N/A,0.027,0.973,0.0,0.0
64,48,Research & Development,Laboratory Technician,5381,Yes,0.97,Critical,Compensation,0.0646,0.9206,0.0,0.0148
65,28,Research & Development,Laboratory Technician,3441,Yes,0.9862,Critical,Burnout,0.9064,0.0936,0.0,0.0
68,44,Sales,Sales Executive,5454,No,0.0206,Low,N/A,0.8922,0.1078,0.0,0.0
70,35,Research & Development,Healthcare Representative,9884,No,0.0509,Low,N/A,0.0433,0.9417,0.0,0.015
72,26,Sales,Sales Executive,4157,No,0.1512,Low,N/A,0.8562,0.1438,0.0,0.0
73,33,Research & Development,Research Director,13458,No,0.052,Low,N/A,0.0701,0.836,0.0,0.0938
74,35,Sales,Sales Executive,9069,No,0.1206,Low,N/A,0.0788,0.8571,0.0,0.064
75,35,Research & Development,Laboratory Technician,4014,No,0.1347,Low,N/A,0.0675,0.9325,0.0,0.0
76,31,Research & Development,Laboratory Technician,5915,No,0.0047,Low,N/A,0.0963,0.8894,0.0,0.0143
77,37,Research & Development,Manufacturing Director,5993,No,0.0011,Low,N/A,0.025,0.965,0.0,0.01
78,32,Research & Development,Manufacturing Director,6162,No,0.0128,Low,N/A,0.0486,0.8772,0.0,0.0742
79,38,Research & Development,Laboratory Technician,2406,No,0.0197,Low,N/A,0.0272,0.953,0.0,0.0198
80,50,Research & Development,Research Director,18740,No,0.0693,Low,N/A,0.7465,0.2535,0.0,0.0
81,59,Sales,Sales Executive,7637,No,0.1284,Low,N/A,0.0897,0.8515,0.0,0.0588
83,36,Research & Development,Healthcare Representative,10096,No,0.0014,Low,N/A,0.0294,0.9261,0.0,0.0445
84,55,Research & Development,Manager,14756,No,0.0021,Low,N/A,0.0355,0.9645,0.0,0.0
85,36,Research & Development,Manufacturing Director,6499,No,0.4168,Medium,N/A,0.0048,0.9952,0.0,0.0
86,45,Research & Development,Research Scientist,9724,No,0.0576,Low,N/A,0.0427,0.9175,0.0,0.0398
88,35,Research & Development,Research Scientist,2194,No,0.0224,Low,N/A,0.0597,0.9256,0.0,0.0147
90,36,Research & Development,Research Scientist,3388,Yes,0.6451,High,Burnout,0.8533,0.1467,0.0,0.0
91,59,Sales,Sales Executive,5473,No,0.1777,Low,N/A,0.0624,0.9181,0.0,0.0196
94,29,Research & Development,Research Scientist,2703,No,0.006,Low,N/A,0.0179,0.9771,0.0,0.0049
95,31,Research & Development,Research Scientist,2501,No,0.1338,Low,N/A,0.0127,0.9774,0.0,0.0099
96,32,Research & Development,Research Scientist,6220,No,0.0107,Low,N/A,0.0135,0.9518,0.0,0.0347
97,36,Research & Development,Laboratory Technician,3038,No,0.0063,Low,N/A,0.014,0.986,0.0,0.0
98,31,Research & Development,Manufacturing Director,4424,No,0.0065,Low,N/A,0.0095,0.976,0.0,0.0146
100,35,Sales,Sales Executive,4312,No,0.0229,Low,N/A,0.0173,0.9186,0.0,0.0642
101,45,Research & Development,Research Director,13245,No,0.0026,Low,N/A,0.0698,0.9252,0.0,0.005
102,37,Research & Development,Research Director,13664,No,0.0132,Low,N/A,0.0308,0.9594,0.0,0.0098
103,46,Human Resources,Human Resources,5021,No,0.0222,Low,N/A,0.0592,0.9408,0.0,0.0
104,30,Research & Development,Laboratory Technician,5126,No,0.0197,Low,N/A,0.7568,0.2138,0.0,0.0294
105,35,Research & Development,Research Scientist,2859,No,0.0118,Low,N/A,0.005,0.995,0.0,0.0
106,55,Sales,Sales Executive,10239,No,0.0743,Low,N/A,0.0444,0.8763,0.0,0.0793
107,38,Research & Development,Research Scientist,5329,No,0.004,Low,N/A,0.0482,0.9372,0.0,0.0146
110,34,Research & Development,Manufacturing Director,4325,No,0.0913,Low,N/A,0.0123,0.9877,0.0,0.0
112,56,Research & Development,Manufacturing Director,7260,No,0.0662,Low,N/A,0.0677,0.9323,0.0,0.0
113,23,Sales,Sales Representative,2322,No,0.1077,Low,N/A,0.0045,0.9955,0.0,0.0
116,51,Research & Development,Laboratory Technician,2075,No,0.0015,Low,N/A,0.0215,0.9736,0.0,0.0049
117,30,Research & Development,Healthcare Representative,4152,No,0.0084,Low,N/A,0.0124,0.8935,0.0,0.0941
118,46,Sales,Sales Executive,9619,Yes,0.9619,Critical,Compensation,0.009,0.9168,0.0,0.0741
119,40,Research & Development,Healthcare Representative,13503,No,0.0028,Low,N/A,0.0856,0.8155,0.0,0.0989
120,51,Sales,Sales Executive,5441,No,0.1897,Low,N/A,0.8146,0.1756,0.0,0.0097
121,30,Sales,Sales Executive,5209,No,0.0223,Low,N/A,0.6575,0.3077,0.0,0.0348
124,46,Research & Development,Healthcare Representative,10673,No,0.0093,Low,N/A,0.6403,0.2116,0.0,0.1481
125,32,Sales,Sales Executive,5010,No,0.144,Low,N/A,0.0068,0.9634,0.0,0.0298
126,54,Research & Development,Research Director,13549,No,0.0033,Low,N/A,0.1002,0.8552,0.0,0.0446
128,24,Sales,Sales Executive,4999,No,0.0211,Low,N/A,0.039,0.961,0.0,0.0
129,28,Sales,Sales Executive,4221,No,0.0065,Low,N/A,0.0291,0.9709,0.0,0.0
131,58,Sales,Sales Executive,13872,No,0.011,Low,N/A,0.1379,0.8473,0.0,0.0147
132,44,Research & Development,Laboratory Technician,2042,No,0.0073,Low,N/A,0.028,0.972,0.0,0.0
133,37,Human Resources,Human Resources,2073,Yes,0.9422,Critical,Compensation,0.0631,0.9369,0.0,0.0
134,32,Research & Development,Research Scientist,2956,No,0.0296,Low,N/A,0.0063,0.9789,0.0,0.0147
137,20,Research & Development,Laboratory Technician,2926,Yes,0.9704,Critical,Compensation,0.0396,0.9604,0.0,0.0
138,34,Research & Development,Research Scientist,4809,No,0.0043,Low,N/A,0.0,0.995,0.0,0.005
139,37,Research & Development,Healthcare Representative,5163,No,0.0019,Low,N/A,0.0135,0.9865,0.0,0.0
140,59,Human Resources,Manager,18844,No,0.0005,Low,N/A,0.0424,0.9427,0.0,0.0148
141,50,Research & Development,Research Director,18172,No,0.0496,Low,N/A,0.6968,0.2591,0.0,0.0441
142,25,Sales,Sales Executive,5744,Yes,0.9435,Critical,Compensation,0.0296,0.9655,0.0,0.0049
143,25,Research & Development,Research Scientist,2889,No,0.0172,Low,N/A,0.0227,0.9724,0.0,0.0049
144,22,Research & Development,Laboratory Technician,2871,Yes,0.5301,High,Compensation,0.0171,0.9829,0.0,0.0
145,51,Research & Development,Healthcare Representative,7484,No,0.0919,Low,N/A,0.0855,0.8307,0.0,0.0838
147,34,Research & Development,Laboratory Technician,6074,Yes,0.9864,Critical,Compensation,0.0357,0.9547,0.0,0.0096
