EmployeeNumber,cf_index,feature_changed,current_value,suggested_value,new_attrition_prob,risk_reduction,intervention_label
1,1,WorkLifeBalance,1.0,4.0,0.9217,0.0615,Improve work-life balance: 1 → 4/4
1,2,StockOptionLevel,0.0,1.0,0.9482,0.0351,Grant stock options (Level 0 → 1)
1,3,WorkLifeBalance,1.0,4.0,0.852,0.1313,Improve work-life balance: 1 → 4/4
1,3,StockOptionLevel,0.0,1.0,0.852,0.1313,Grant stock options (Level 0 → 1)
4,1,OverTime,1.0,0.0,0.4903,0.2706,Remove overtime requirement
4,2,DistanceFromHome,2.0,1.0,0.6024,0.1585,Offer remote/hybrid work (commute: 2 → 1 miles)
4,3,OverTime,1.0,0.0,0.3214,0.4395,Remove overtime requirement
4,3,DistanceFromHome,2.0,1.0,0.3214,0.4395,Offer remote/hybrid work (commute: 2 → 1 miles)
19,1,DistanceFromHome,24.0,1.0,0.9548,0.0414,Offer remote/hybrid work (commute: 24 → 1 miles)
19,2,OverTime,1.0,0.0,0.9654,0.0308,Remove overtime requirement
19,3,DistanceFromHome,24.0,1.0,0.7609,0.2353,Offer remote/hybrid work (commute: 24 → 1 miles)
19,3,OverTime,1.0,0.0,0.7609,0.2353,Remove overtime requirement
27,1,JobSatisfaction,1.0,4.0,0.0769,0.8685,Improve job satisfaction: 1 → 4/4
27,2,StockOptionLevel,0.0,2.0,0.6757,0.2696,Grant stock options (Level 0 → 2)
27,3,JobSatisfaction,1.0,4.0,0.0384,0.907,Improve job satisfaction: 1 → 4/4
27,3,StockOptionLevel,0.0,2.0,0.0384,0.907,Grant stock options (Level 0 → 2)
31,1,JobSatisfaction,1.0,4.0,0.0304,0.6857,Improve job satisfaction: 1 → 4/4
31,2,TrainingTimesLastYear,2.0,6.0,0.2368,0.4793,Increase training sessions: 2 → 6/year
31,3,JobSatisfaction,1.0,4.0,0.0063,0.7098,Improve job satisfaction: 1 → 4/4
31,3,TrainingTimesLastYear,2.0,6.0,0.0063,0.7098,Increase training sessions: 2 → 6/year
33,1,StockOptionLevel,0.0,2.0,0.981,0.0174,Grant stock options (Level 0 → 2)
33,2,JobSatisfaction,1.0,4.0,0.9843,0.0141,Improve job satisfaction: 1 → 4/4
33,3,StockOptionLevel,0.0,2.0,0.9091,0.0894,Grant stock options (Level 0 → 2)
33,3,JobSatisfaction,1.0,4.0,0.9091,0.0894,Improve job satisfaction: 1 → 4/4
42,1,MonthlyIncome,2086.0,8379.0,0.44,0.459,"Salary raise: $2,086 → $8,379/month (+302%)"
42,2,DistanceFromHome,5.0,1.0,0.4597,0.4394,Offer remote/hybrid work (commute: 5 → 1 miles)
42,3,MonthlyIncome,2086.0,8379.0,0.1125,0.7866,"Salary raise: $2,086 → $8,379/month (+302%)"
42,3,DistanceFromHome,5.0,1.0,0.1125,0.7866,Offer remote/hybrid work (commute: 5 → 1 miles)
45,1,MonthlyIncome,2293.0,4919.0,0.7006,0.2562,"Salary raise: $2,293 → $4,919/month (+115%)"
45,2,OverTime,1.0,0.0,0.791,0.1658,Remove overtime requirement
45,3,MonthlyIncome,2293.0,4919.0,0.4042,0.5526,"Salary raise: $2,293 → $4,919/month (+115%)"
45,3,OverTime,1.0,0.0,0.4042,0.5526,Remove overtime requirement
47,1,EnvironmentSatisfaction,1.0,4.0,0.6921,0.227,Improve work environment: 1 → 4/4
47,2,StockOptionLevel,0.0,2.0,0.7476,0.1715,Grant stock options (Level 0 → 2)
47,3,EnvironmentSatisfaction,1.0,4.0,0.3164,0.6027,Improve work environment: 1 → 4/4
47,3,StockOptionLevel,0.0,2.0,0.3164,0.6027,Grant stock options (Level 0 → 2)
55,1,StockOptionLevel,0.0,2.0,0.9796,0.0178,Grant stock options (Level 0 → 2)
55,2,TrainingTimesLastYear,2.0,6.0,0.9834,0.014,Increase training sessions: 2 → 6/year
55,3,StockOptionLevel,0.0,2.0,0.9107,0.0867,Grant stock options (Level 0 → 2)
55,3,TrainingTimesLastYear,2.0,6.0,0.9107,0.0867,Increase training sessions: 2 → 6/year
64,1,EnvironmentSatisfaction,1.0,4.0,0.5502,0.4198,Improve work environment: 1 → 4/4
64,2,JobSatisfaction,3.0,4.0,0.8247,0.1453,Improve job satisfaction: 3 → 4/4
64,3,EnvironmentSatisfaction,1.0,4.0,0.1487,0.8213,Improve work environment: 1 → 4/4
64,3,JobSatisfaction,3.0,4.0,0.1487,0.8213,Improve job satisfaction: 3 → 4/4
65,1,DistanceFromHome,5.0,1.0,0.8448,0.1415,Offer remote/hybrid work (commute: 5 → 1 miles)
65,2,JobSatisfaction,3.0,4.0,0.9224,0.0638,Improve job satisfaction: 3 → 4/4
65,3,DistanceFromHome,5.0,1.0,0.5841,0.4021,Offer remote/hybrid work (commute: 5 → 1 miles)
65,3,JobSatisfaction,3.0,4.0,0.5841,0.4021,Improve job satisfaction: 3 → 4/4
90,1,DistanceFromHome,9.0,1.0,0.1546,0.4905,Offer remote/hybrid work (commute: 9 → 1 miles)
90,2,JobSatisfaction,3.0,4.0,0.1745,0.4706,Improve job satisfaction: 3 → 4/4
90,3,DistanceFromHome,9.0,1.0,0.0412,0.6039,Offer remote/hybrid work (commute: 9 → 1 miles)
90,3,JobSatisfaction,3.0,4.0,0.0412,0.6039,Improve job satisfaction: 3 → 4/4
118,1,YearsSinceLastPromotion,4.0,0.0,0.7882,0.1737,Promote employee (reset promotion clock to 0)
118,2,TrainingTimesLastYear,3.0,6.0,0.8281,0.1338,Increase training sessions: 3 → 6/year
118,3,YearsSinceLastPromotion,4.0,0.0,0.4442,0.5177,Promote employee (reset promotion clock to 0)
118,3,TrainingTimesLastYear,3.0,6.0,0.4442,0.5177,Increase training sessions: 3 → 6/year
133,1,JobSatisfaction,1.0,4.0,0.5962,0.346,Improve job satisfaction: 1 → 4/4
133,2,DistanceFromHome,6.0,1.0,0.6988,0.2434,Offer remote/hybrid work (commute: 6 → 1 miles)
133,3,JobSatisfaction,1.0,4.0,0.1798,0.7624,Improve job satisfaction: 1 → 4/4
133,3,DistanceFromHome,6.0,1.0,0.1798,0.7624,Offer remote/hybrid work (commute: 6 → 1 miles)
137,1,OverTime,1.0,0.0,0.8219,0.1485,Remove overtime requirement
137,2,DistanceFromHome,6.0,1.0,0.8619,0.1085,Offer remote/hybrid work (commute: 6 → 1 miles)
137,3,OverTime,1.0,0.0,0.5162,0.4542,Remove overtime requirement
137,3,DistanceFromHome,6.0,1.0,0.5162,0.4542,Offer remote/hybrid work (commute: 6 → 1 miles)
142,1,JobSatisfaction,3.0,4.0,0.6659,0.2776,Improve job satisfaction: 3 → 4/4
142,2,TrainingTimesLastYear,1.0,6.0,0.7458,0.1976,Increase training sessions: 1 → 6/year
142,3,JobSatisfaction,3.0,4.0,0.348,0.5954,Improve job satisfaction: 3 → 4/4
142,3,TrainingTimesLastYear,1.0,6.0,0.348,0.5954,Increase training sessions: 1 → 6/year
144,1,DistanceFromHome,15.0,1.0,0.2206,0.3095,Offer remote/hybrid work (commute: 15 → 1 miles)
144,2,StockOptionLevel,0.0,2.0,0.2723,0.2578,Grant stock options (Level 0 → 2)
144,3,DistanceFromHome,15.0,1.0,0.1085,0.4216,Offer remote/hybrid work (commute: 15 → 1 miles)
144,3,StockOptionLevel,0.0,2.0,0.1085,0.4216,Grant stock options (Level 0 → 2)
147,1,EnvironmentSatisfaction,1.0,4.0,0.6327,0.3537,Improve work environment: 1 → 4/4
147,2,JobSatisfaction,3.0,4.0,0.9503,0.0361,Improve job satisfaction: 3 → 4/4
147,3,EnvironmentSatisfaction,1.0,4.0,0.3003,0.6861,Improve work environment: 1 → 4/4
147,3,JobSatisfaction,3.0,4.0,0.3003,0.6861,Improve job satisfaction: 3 → 4/4
163,1,StockOptionLevel,0.0,2.0,0.7962,0.1909,Grant stock options (Level 0 → 2)
163,2,WorkLifeBalance,2.0,4.0,0.887,0.1001,Improve work-life balance: 2 → 4/4
163,3,StockOptionLevel,0.0,2.0,0.4164,0.5708,Grant stock options (Level 0 → 2)
163,3,WorkLifeBalance,2.0,4.0,0.4164,0.5708,Improve work-life balance: 2 → 4/4
167,1,DistanceFromHome,22.0,1.0,0.9482,0.0481,Offer remote/hybrid work (commute: 22 → 1 miles)
167,2,OverTime,1.0,0.0,0.9853,0.0109,Remove overtime requirement
167,3,DistanceFromHome,22.0,1.0,0.8496,0.1466,Offer remote/hybrid work (commute: 22 → 1 miles)
167,3,OverTime,1.0,0.0,0.8496,0.1466,Remove overtime requirement
175,1,EnvironmentSatisfaction,2.0,4.0,0.3102,0.3931,Improve work environment: 2 → 4/4
175,2,DistanceFromHome,20.0,1.0,0.3262,0.3771,Offer remote/hybrid work (commute: 20 → 1 miles)
175,3,EnvironmentSatisfaction,2.0,4.0,0.0771,0.6262,Improve work environment: 2 → 4/4
175,3,DistanceFromHome,20.0,1.0,0.0771,0.6262,Offer remote/hybrid work (commute: 20 → 1 miles)
190,1,JobSatisfaction,1.0,4.0,0.3815,0.6047,Improve job satisfaction: 1 → 4/4
190,2,EnvironmentSatisfaction,1.0,4.0,0.7845,0.2017,Improve work environment: 1 → 4/4
190,3,JobSatisfaction,1.0,4.0,0.0585,0.9277,Improve job satisfaction: 1 → 4/4
190,3,EnvironmentSatisfaction,1.0,4.0,0.0585,0.9277,Improve work environment: 1 → 4/4
201,1,TrainingTimesLastYear,3.0,6.0,0.2217,0.3296,Increase training sessions: 3 → 6/year
201,2,StockOptionLevel,0.0,2.0,0.2567,0.2947,Grant stock options (Level 0 → 2)
201,3,TrainingTimesLastYear,3.0,6.0,0.1085,0.4429,Increase training sessions: 3 → 6/year
201,3,StockOptionLevel,0.0,2.0,0.1085,0.4429,Grant stock options (Level 0 → 2)
235,1,JobSatisfaction,1.0,4.0,0.9121,0.077,Improve job satisfaction: 1 → 4/4
235,2,StockOptionLevel,0.0,2.0,0.9169,0.0722,Grant stock options (Level 0 → 2)
235,3,JobSatisfaction,1.0,4.0,0.677,0.3121,Improve job satisfaction: 1 → 4/4
235,3,StockOptionLevel,0.0,2.0,0.677,0.3121,Grant stock options (Level 0 → 2)
243,1,DistanceFromHome,2.0,1.0,0.8689,0.0922,Offer remote/hybrid work (commute: 2 → 1 miles)
243,2,WorkLifeBalance,2.0,3.0,0.8707,0.0904,Improve work-life balance: 2 → 3/4
243,3,DistanceFromHome,2.0,1.0,0.7111,0.25,Offer remote/hybrid work (commute: 2 → 1 miles)
243,3,WorkLifeBalance,2.0,3.0,0.7111,0.25,Improve work-life balance: 2 → 3/4
248,1,DistanceFromHome,20.0,1.0,0.3512,0.4143,Offer remote/hybrid work (commute: 20 → 1 miles)
248,2,JobSatisfaction,2.0,4.0,0.4343,0.3312,Improve job satisfaction: 2 → 4/4
248,3,DistanceFromHome,20.0,1.0,0.1278,0.6377,Offer remote/hybrid work (commute: 20 → 1 miles)
248,3,JobSatisfaction,2.0,4.0,0.1278,0.6377,Improve job satisfaction: 2 → 4/4
261,1,DistanceFromHome,23.0,1.0,0.9197,0.0759,Offer remote/hybrid work (commute: 23 → 1 miles)
261,2,JobSatisfaction,3.0,4.0,0.9452,0.0504,Improve job satisfaction: 3 → 4/4
261,3,DistanceFromHome,23.0,1.0,0.48,0.5156,Offer remote/hybrid work (commute: 23 → 1 miles)
261,3,JobSatisfaction,3.0,4.0,0.48,0.5156,Improve job satisfaction: 3 → 4/4
282,1,JobSatisfaction,1.0,4.0,0.3822,0.5818,Improve job satisfaction: 1 → 4/4
282,2,DistanceFromHome,29.0,1.0,0.6377,0.3263,Offer remote/hybrid work (commute: 29 → 1 miles)
282,3,JobSatisfaction,1.0,4.0,0.0556,0.9085,Improve job satisfaction: 1 → 4/4
282,3,DistanceFromHome,29.0,1.0,0.0556,0.9085,Offer remote/hybrid work (commute: 29 → 1 miles)
283,1,DistanceFromHome,27.0,1.0,0.3273,0.573,Offer remote/hybrid work (commute: 27 → 1 miles)
283,2,WorkLifeBalance,2.0,3.0,0.5905,0.3097,Improve work-life balance: 2 → 3/4
283,3,DistanceFromHome,27.0,1.0,0.1061,0.7942,Offer remote/hybrid work (commute: 27 → 1 miles)
283,3,WorkLifeBalance,2.0,3.0,0.1061,0.7942,Improve work-life balance: 2 → 3/4
291,1,WorkLifeBalance,2.0,3.0,0.5503,0.4008,Improve work-life balance: 2 → 3/4
291,2,StockOptionLevel,0.0,2.0,0.7621,0.189,Grant stock options (Level 0 → 2)
291,3,WorkLifeBalance,2.0,3.0,0.1974,0.7537,Improve work-life balance: 2 → 3/4
291,3,StockOptionLevel,0.0,2.0,0.1974,0.7537,Grant stock options (Level 0 → 2)
297,1,JobSatisfaction,1.0,4.0,0.6317,0.3182,Improve job satisfaction: 1 → 4/4
297,2,DistanceFromHome,3.0,1.0,0.817,0.1329,Offer remote/hybrid work (commute: 3 → 1 miles)
297,3,JobSatisfaction,1.0,4.0,0.297,0.6528,Improve job satisfaction: 1 → 4/4
297,3,DistanceFromHome,3.0,1.0,0.297,0.6528,Offer remote/hybrid work (commute: 3 → 1 miles)
299,1,JobSatisfaction,1.0,4.0,0.5218,0.4629,Improve job satisfaction: 1 → 4/4
299,2,StockOptionLevel,0.0,2.0,0.919,0.0657,Grant stock options (Level 0 → 2)
299,3,JobSatisfaction,1.0,4.0,0.3076,0.6771,Improve job satisfaction: 1 → 4/4
299,3,StockOptionLevel,0.0,2.0,0.3076,0.6771,Grant stock options (Level 0 → 2)
