metric_name,value,model,notes
accuracy,0.8401,XGBoost_Stage1,Overall accuracy on held-out test set
auc_roc,0.8014,XGBoost_Stage1,PRIMARY metric — handles class imbalance
f1_macro,0.6998,XGBoost_Stage1,Balanced F1 across both classes
f1_minority,0.4946,XGBoost_Stage1,F1 for Attrition=Yes (minority class)
precision_minority,0.5,XGBoost_Stage1,Precision for Attrition=Yes
recall_minority,0.4894,XGBoost_Stage1,Recall for Attrition=Yes
accuracy,0.8401,LightGBM_Compare,Comparison model
auc_roc,0.7724,LightGBM_Compare,Comparison model
f1_minority,0.4719,LightGBM_Compare,Comparison model
accuracy,0.9574,RF_Stage2_Reason,Reason classification on test Yes-cases (synthetic labels)
f1_macro,0.6583,RF_Stage2_Reason,Macro F1 across 4 reasons
mean_abs_shap_top_feature,0.6628,SHAP,Top feature: JobSatisfaction
mean_abs_shap_global,0.3169,SHAP,Average |SHAP| across all features and employees
avg_risk_reduction_per_cf,0.3612,DiCE,Average attrition probability reduction per counterfactual set
employees_with_interventions,233.0,DiCE,High-risk employees with at least one counterfactual
