EmployeeNumber,base_value,shap_feature_1,shap_value_1,shap_feature_2,shap_value_2,shap_feature_3,shap_value_3,shap_feature_4,shap_value_4,shap_feature_5,shap_value_5
1,1.401708,JobSatisfaction,-1.275527,burnout_proxy,1.136272,WorkLifeBalance,0.930089,DistanceFromHome,-0.836386,OverTime,0.561437
2,1.401708,RelationshipSatisfaction,-0.700467,MonthlyIncome,-0.648432,WorkLifeBalance,-0.482128,StockOptionLevel,-0.44834,promotion_stagnation,-0.42601
4,1.401708,EnvironmentSatisfaction,-1.104074,Age,-0.935856,burnout_proxy,0.870982,DistanceFromHome,-0.764565,YearsWithCurrManager,0.757629
5,1.401708,total_satisfaction,-0.88697,EnvironmentSatisfaction,-0.84351,burnout_proxy,0.551366,StockOptionLevel,0.529526,YearsWithCurrManager,0.51292
7,1.401708,EnvironmentSatisfaction,0.824672,RelationshipSatisfaction,-0.799251,total_satisfaction,-0.575603,StockOptionLevel,-0.519446,income_to_dept_avg,-0.488998
8,1.401708,JobSatisfaction,-1.595487,EnvironmentSatisfaction,-0.997018,NumCompaniesWorked,-0.929367,total_satisfaction,-0.676557,DistanceFromHome,-0.590659
10,1.401708,JobInvolvement,-1.709966,StockOptionLevel,-1.018007,Age,-0.959008,JobSatisfaction,0.732862,total_satisfaction,-0.680679
11,1.401708,EnvironmentSatisfaction,-0.913491,YearsWithCurrManager,0.898157,StockOptionLevel,-0.78303,MaritalStatus,-0.750839,WorkLifeBalance,-0.520499
12,1.401708,EnvironmentSatisfaction,-1.448172,YearsWithCurrManager,-0.816875,NumCompaniesWorked,-0.665229,Age,-0.643652,income_to_dept_avg,-0.624687
13,1.401708,JobRole,-1.157819,StockOptionLevel,-0.869407,NumCompaniesWorked,0.766813,WorkLifeBalance,0.539261,Age,-0.527833
14,1.401708,JobInvolvement,-1.351708,EnvironmentSatisfaction,0.969153,NumCompaniesWorked,-0.968237,TrainingTimesLastYear,-0.900488,YearsWithCurrManager,-0.620294
15,1.401708,EnvironmentSatisfaction,-1.309402,NumCompaniesWorked,-0.900491,promotion_stagnation,-0.870049,RelationshipSatisfaction,-0.718907,YearsWithCurrManager,-0.717552
16,1.401708,MaritalStatus,-0.875401,StockOptionLevel,-0.759715,JobRole,-0.730721,EnvironmentSatisfaction,0.711064,RelationshipSatisfaction,-0.612998
18,1.401708,JobSatisfaction,-1.268057,NumCompaniesWorked,-0.765481,MaritalStatus,-0.622775,MonthlyIncome,-0.587026,StockOptionLevel,-0.486652
19,1.401708,burnout_proxy,1.135527,NumCompaniesWorked,0.933585,OverTime,0.928749,Age,0.560848,WorkLifeBalance,-0.495358
20,1.401708,MaritalStatus,-1.101471,JobInvolvement,-1.013587,StockOptionLevel,-0.966987,YearsInCurrentRole,-0.82445,income_to_dept_avg,-0.797212
21,1.401708,JobInvolvement,-1.795693,NumCompaniesWorked,-1.080854,MaritalStatus,-0.86105,JobRole,-0.770191,RelationshipSatisfaction,-0.764805
22,1.401708,JobInvolvement,-1.290474,JobSatisfaction,-1.137804,StockOptionLevel,-1.060912,BusinessTravel,-1.001167,EnvironmentSatisfaction,-0.805324
